Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,Door2,-0.36125,-0.0025,1,0,0,1.544,optionLeft,40,1270,1,23,0,23,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,WildCard_NonEx,-0.355,-0.045,1,0,0,1.529,optionLeft,45,1315,1,24,0,24,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door2,-0.36875,0.00125,1,0,0,0.962,optionLeft,20,1335,1,25,0,25,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DP.BMP,resources/DG.BMP,Door3,0.30375,-0.04125,1,0,0,1.362,optionRight,70,1405,1,26,0,26,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,WildCard_NonEx,0.3375,-0.04125,1,0,0,0.946,optionRight,45,1450,1,27,0,27,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door1,-0.31875,-0.01875,1,0,0,0.896,optionLeft,30,1480,1,28,0,28,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door3,0.33625,0.0025,1,0,0,0.963,optionRight,70,1550,1,29,0,29,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,Door1,-0.3675,-0.02125,1,0,0,1.179,optionLeft,30,1580,1,30,0,30,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DP.BMP,resources/Empty.png,WildCard_NonEx,-0.35625,-0.06,1,0,0,0.811,optionLeft,45,1625,1,31,0,31,0,1
,,,,,,,,2023-08-16_08h49.12,HF_wild_card,2022.2.4,MacIntel,90.90909091,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,Door1,0.3375,0.02625,1,0,0,1.062,optionRight,30,1655,1,32,0,32,0,1
