Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DY.BMP,resources/DG.BMP,Door2,0.233240887,-0.076167357,1,0,0,1.9649,optionRight,20,1150,1,23,0,23,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/DR.BMP,resources/Empty.png,WildCard_Ex,-0.318770214,-0.030859938,1,0,0,1.0087,optionLeft,95,1245,1,24,0,24,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DBN.BMP,resources/DR.BMP,WildCard_Ex,0.253583001,-0.057674519,1,0,0,0.7853,optionRight,95,1340,1,25,0,25,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,Door3,0.320157171,-0.032709214,1,0,0,0.9036,optionRight,70,1410,1,26,0,26,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,Door1,0.26837736,-0.028086023,1,0,0,0.7246,optionRight,30,1440,1,27,0,27,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,ctch,resources/DY.BMP,resources/DBN.BMP,Door4,0.276699029,-0.067845613,1,0,0,0.8535,optionRight,80,1520,1,28,0,28,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DB.BMP,resources/DBN.BMP,Door4,0.245261257,-0.028086023,1,0,0,1.2227,optionRight,60,1580,1,29,0,29,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DG.BMP,resources/DY.BMP,Door2,-0.271613501,-0.10390665,1,0,0,1.2349,optionLeft,40,1620,1,30,0,30,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,Door4,0.266528009,-0.084489174,1,0,0,1.7467,optionRight,80,1700,1,31,0,31,0,1,,,,,
,,,,,,,,2023-08-16_08h23.15.496,HF_wild_card,2022.2.4,Linux armv81,60.22645146,63bc864456067deb81092630,64d2fd46c836a06233681665,64dc7953be257441112eb128,,,,,,,ctch,resources/DG.BMP,resources/DB.BMP,Door3,0.246185895,-0.050277414,1,0,0,1.0218,optionRight,70,1770,1,32,0,32,0,1,,,,,
