Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),NonExtreme Wild Card 1,NonExtreme Wild Card 2,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DY.BMP,resources/DP.BMP,Door3,0.34375,-0.065,1,0,0,1.846,optionRight,70,1790,1,33,0,33,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door3,-0.42375,-0.05875,1,0,0,1.277,optionLeft,70,1860,1,34,0,34,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door1,0.27375,-0.00375,1,0,0,4.364,optionRight,30,1890,1,35,0,35,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/DB.BMP,resources/Empty.png,Door1,-0.36875,0.01,1,0,0,1.175,optionLeft,30,1920,1,36,0,36,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,sngl,resources/Empty.png,resources/DBN.BMP,WildCard_NonEx,0.30625,-0.01875,1,0,0,1.283,optionRight,45,1965,1,37,0,37,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DP.BMP,resources/DR.BMP,Door3,-0.4325,-0.05875,1,0,0,1.119,optionLeft,70,2035,1,38,0,38,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,ctch,resources/DB.BMP,resources/DR.BMP,Door4,0.3575,-0.10875,1,0,0,1.555,optionRight,60,2095,1,39,0,39,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DP.BMP,Door3,0.48625,-0.10625,1,0,0,1.287,optionRight,70,2165,1,40,0,40,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DY.BMP,resources/DB.BMP,Door2,-0.4175,0.015,1,0,0,2.043,optionLeft,40,2205,1,41,0,41,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DBN.BMP,resources/DB.BMP,WildCard_NonEx,-0.2875,0.03125,1,0,0,1.254,optionLeft,55,2260,1,42,0,42,0,1
,,,,,,,,2023-08-16_08h44.42,HF_wild_card,2022.2.4,MacIntel,62.5,5894b2033e061b0001dff3d3,64d2fd46c836a06233681665,64dc7e51efbc35fa1e2eb119,,,,,,,decisionTrl,resources/DR.BMP,resources/DBN.BMP,WildCard_NonEx,0.35375,-0.0225,1,0,0,1.486,optionRight,55,2315,1,43,0,43,0,1
