Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64dc7b95215c87190a6f0a89,59b7b72e11212f0001cd0f15,APPROVED,2023-08-16T07:32:42.954000Z,2023-08-16T07:51:29.526000Z,2023-08-16T15:07:17.595000,2023-08-16T07:51:30.053449Z,1127,C2BFG2BR,308,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64dc7b996affa6e52df02fc4,5d1904fd8b97090001215bdf,APPROVED,2023-08-16T07:32:49.243000Z,2023-08-16T07:50:13.936000Z,2023-08-16T15:07:17.759000,2023-08-16T07:50:14.376498Z,1045,C2BFG2BR,1724,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
64dc7ba29f657209751f2160,55e356dac70c7a00052a57ec,APPROVED,2023-08-16T07:32:56.194000Z,2023-08-16T08:01:26.199000Z,2023-08-16T15:07:17.894000,2023-08-16T08:01:28.602414Z,1711,C2BFG2BR,2005,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64dc7ba6215c87190a6f0a8e,56235e19ed6e5a0011c80a7b,APPROVED,2023-08-16T07:32:57.935000Z,2023-08-16T07:53:53.181000Z,2023-08-16T15:07:18.023000,2023-08-16T07:53:53.671622Z,1256,C2BFG2BR,673,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7bc7cd581e52bf779d47,64007622a1b9dbf7a50405cb,APPROVED,2023-08-16T07:33:36.921000Z,2023-08-16T07:54:02.992000Z,2023-08-16T15:07:18.150000,2023-08-16T07:54:03.510705Z,1227,C2BFG2BR,226,English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7bc93caf00f7e32eb0eb,5a75e9c119042000015569af,APPROVED,2023-08-16T07:33:33.074000Z,2023-08-16T07:53:15.417000Z,2023-08-16T15:07:18.296000,2023-08-16T07:53:16.099102Z,1183,C2BFG2BR,1179,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64dc7bdbac1e705236e6c160,5e5ed3c0287d5020d299f783,APPROVED,2023-08-16T07:33:51.291000Z,2023-08-16T07:51:07.534000Z,2023-08-16T15:07:18.427000,2023-08-16T07:51:08.056301Z,1037,C2BFG2BR,106,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7bdfaf547a8081be89a4,5ebc4f47316102079775504b,APPROVED,2023-08-16T07:34:06.552000Z,2023-08-16T07:58:41.211000Z,2023-08-16T20:50:12.176000,2023-08-16T07:58:41.666068Z,1475,NOCODE,5,English,38,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64dc7be8348813c8bd4e572e,62b0567cdc9d1b36d234a319,APPROVED,2023-08-16T07:34:03.314000Z,2023-08-16T07:56:09.994000Z,2023-08-16T15:07:18.575000,2023-08-16T07:56:10.522953Z,1327,C2BFG2BR,437,English,34,Female,White,United Kingdom,United Kingdom,Ireland,English,Yes,Full-Time
64dc7be9cf99e74298b5d48a,5755c957eb80c4000741a9ce,APPROVED,2023-08-16T07:36:44.624000Z,2023-08-16T07:54:56.625000Z,2023-08-16T15:07:18.716000,2023-08-16T07:54:57.054248Z,1093,C2BFG2BR,3066,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c041f8143bba27f3752,5ccab088f2532b0001b88aca,APPROVED,2023-08-16T07:35:14.572000Z,2023-08-16T07:58:37.369000Z,2023-08-16T15:07:18.874000,2023-08-16T07:58:38.017464Z,1403,C2BFG2BR,772,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c10d51aec2c7bc546f9,5e56a4d1df03b70525535774,APPROVED,2023-08-16T07:34:46.343000Z,2023-08-16T08:05:15.656000Z,2023-08-16T15:07:19.026000,2023-08-16T08:05:16.189880Z,1830,C2BFG2BR,210,English,33,Male,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
64dc7c1fd479d511601f21a6,63de5a3da0d14b3d32a134f8,APPROVED,2023-08-16T07:35:01.669000Z,2023-08-16T08:01:15.858000Z,2023-08-16T15:07:19.173000,2023-08-16T08:01:16.515276Z,1575,C2BFG2BR,211,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c240fd16a25adb512a4,5c8ba607c5366c0001d022cb,APPROVED,2023-08-16T07:35:50.430000Z,2023-08-16T07:59:34.303000Z,2023-08-16T15:07:19.330000,2023-08-16T07:59:34.789675Z,1424,C2BFG2BR,2007,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c2e1a8da31a47b5d480,5e692a511f156a1e4aa18f70,APPROVED,2023-08-16T07:35:13.613000Z,2023-08-16T08:17:23.951000Z,2023-08-16T15:07:19.467000,2023-08-16T08:17:24.382160Z,2531,C2BFG2BR,782,English,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7c320557b9d21b127088,5c4f839a37efdd000184e1df,APPROVED,2023-08-16T07:35:18.116000Z,2023-08-16T07:54:36.986000Z,2023-08-16T15:07:19.601000,2023-08-16T07:54:37.446318Z,1159,C2BFG2BR,386,English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64dc7c3ba2ce67ee1b033467,614d9188dc315950026a6102,APPROVED,2023-08-16T07:35:30.799000Z,2023-08-16T07:54:00.851000Z,2023-08-16T15:07:19.734000,2023-08-16T07:54:01.349137Z,1111,C2BFG2BR,477,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c4379bf61fd77441185,5dccf219aa4314964f7461d9,APPROVED,2023-08-16T07:35:37.250000Z,2023-08-16T07:52:56.455000Z,2023-08-16T15:07:19.907000,2023-08-16T07:52:57.714507Z,1040,C2BFG2BR,1516,English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64dc7c4c63a4fd7ffd42d9ff,599eedebec626e0001d53f19,APPROVED,2023-08-16T07:35:44.978000Z,2023-08-16T07:58:37.880000Z,2023-08-16T15:07:20.029000,2023-08-16T07:58:38.511068Z,1373,C2BFG2BR,1284,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64dc7c4c847bd98900133bc4,63160f375a6aad006c2bce9b,APPROVED,2023-08-16T07:38:17.235000Z,2023-08-16T07:55:11.002000Z,2023-08-16T15:07:20.160000,2023-08-16T07:55:11.462625Z,1014,C2BFG2BR,410,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
